,,out,back,num_difference
121.43,31.35,9.0,14.0,5.0
121.49,31.26,12.0,17.0,5.0
121.5,31.22,5.0,10.0,5.0
121.51,31.19,1.0,6.0,5.0
121.46,31.22,6.0,11.0,5.0
121.45,31.32,25.0,30.0,5.0
121.44,31.28,17.0,22.0,5.0
121.52,31.26,9.0,14.0,5.0
121.44,31.19,24.0,29.0,5.0
121.43,31.34,1.0,6.0,5.0
121.52,31.29,23.0,28.0,5.0
121.48,31.4,3.0,8.0,5.0
121.36,31.21,6.0,11.0,5.0
121.36,31.22,14.0,19.0,5.0
121.4,31.17,4.0,9.0,5.0
121.4,31.13,8.0,13.0,5.0
121.53,31.23,3.0,8.0,5.0
121.53,31.25,3.0,8.0,5.0
121.38,31.26,9.0,14.0,5.0
121.42,31.14,9.0,15.0,6.0
121.53,31.26,15.0,21.0,6.0
121.51,31.24,1.0,7.0,6.0
121.46,31.23,15.0,21.0,6.0
121.39,31.17,4.0,10.0,6.0
121.45,31.29,27.0,33.0,6.0
121.52,31.32,22.0,28.0,6.0
121.44,31.33,23.0,29.0,6.0
121.48,31.31,26.0,32.0,6.0
121.52,31.28,15.0,21.0,6.0
121.4,31.28,6.0,12.0,6.0
121.45,31.31,13.0,19.0,6.0
121.56,31.2,3.0,9.0,6.0
121.51,31.28,19.0,26.0,7.0
121.51,31.32,6.0,13.0,7.0
121.33,31.25,3.0,10.0,7.0
121.48,31.29,31.0,38.0,7.0
121.38,31.22,4.0,11.0,7.0
121.39,31.18,3.0,10.0,7.0
121.41,31.24,8.0,15.0,7.0
121.42,31.24,23.0,30.0,7.0
121.47,31.22,6.0,13.0,7.0
121.47,31.34,5.0,12.0,7.0
121.54,31.33,15.0,23.0,8.0
121.46,31.24,1.0,9.0,8.0
121.44,31.26,23.0,31.0,8.0
121.54,31.3,15.0,24.0,9.0
121.53,31.33,21.0,30.0,9.0
121.49,31.34,12.0,21.0,9.0
121.39,31.24,8.0,17.0,9.0
121.44,31.24,12.0,21.0,9.0
121.43,31.18,11.0,20.0,9.0
121.47,31.28,10.0,20.0,10.0
121.48,31.33,5.0,15.0,10.0
121.54,31.29,20.0,30.0,10.0
121.5,31.26,18.0,30.0,12.0
121.52,31.27,20.0,33.0,13.0
121.54,31.27,16.0,32.0,16.0
121.49,31.28,15.0,38.0,23.0
