,,out,back,num_difference,location
121.53,31.32,61.0,45.0,-16.0,上海市杨浦区殷行街道国和二村
121.45,31.23,30.0,15.0,-15.0,上海市静安区江宁路街道西康公园
121.43,31.3,13.0,1.0,-12.0,上海市静安区彭浦镇白玉兰馨园
121.47,31.25,22.0,10.0,-12.0,上海市静安区宝山路街道虬江路1226号博园大楼
121.5,31.29,24.0,12.0,-12.0,上海市虹口区曲阳路街道松花小区(松花江路)松花小区(政肃路)
121.46,31.31,21.0,9.0,-12.0,上海市静安区临汾路街道阳曲路恒安小区
121.42,31.28,31.0,20.0,-11.0,上海市宝山区大场镇大场镇华欣苑
121.43,31.25,24.0,13.0,-11.0,上海市普陀区石泉路街道秋月枫舍二期秋月枫舍2期
121.51,31.26,35.0,24.0,-11.0,上海市虹口区北外滩街道上海市虹口区人民检察院
121.5,31.21,12.0,1.0,-11.0,上海市黄浦区半淞园路街道陆家浜路318号中福花苑2期
121.49,31.29,33.0,23.0,-10.0,上海市虹口区曲阳路街道曲阳路789号上海中医药大学附属岳阳中西医结合医院主院区
121.32,31.3,24.0,14.0,-10.0,上海市嘉定区南翔镇金地格林世界格林公馆3期柯玛仕庄园
121.53,31.31,29.0,19.0,-10.0,上海市杨浦区长海路街道长海路227号第二军医大学东方肝胆外科医院
121.45,31.3,20.0,11.0,-9.0,上海市静安区大宁路街道共和新路市北壹中心
121.46,31.26,21.0,12.0,-9.0,上海市静安区芷江西路街道中山北路744号金田商务(中山北路)
121.37,31.26,13.0,4.0,-9.0,上海市普陀区桃浦镇阳光威尼斯(AB区)阳光威尼斯AB区
121.53,31.3,31.0,22.0,-9.0,上海市杨浦区长海路街道佳泰花园佳泰花园(营口路)
121.48,31.34,19.0,11.0,-8.0,上海市宝山区淞南镇宝山区锦川乐园祥腾生活广场
121.54,31.31,22.0,14.0,-8.0,上海市杨浦区长海路街道翔殷三村
121.49,31.25,26.0,18.0,-8.0,上海市虹口区北外滩街道吴淞路308号耀江国际广场
121.51,31.31,29.0,21.0,-8.0,上海市杨浦区长海路街道淞沪路淞沪路605号
121.49,31.33,22.0,14.0,-8.0,上海市宝山区高境镇逸仙路
121.53,31.18,9.0,1.0,-8.0,上海市浦东新区北蔡镇罗曼园高级婚礼会馆宴会厅(锦绣店)大华北公园(装修中)
121.55,31.27,15.0,7.0,-8.0,上海市杨浦区定海路街道上海波阳创业园10
121.4,31.24,17.0,9.0,-8.0,上海市普陀区曹杨新村街道梅川路81号上海市曹杨第二中学
121.48,31.28,25.0,17.0,-8.0,上海市虹口区广中路街道上海财经大学中山北一路校区学生公寓1号楼上海博思大酒店
121.56,31.28,10.0,3.0,-7.0,上海市杨浦区定海路街道复兴岛地铁站3号口
121.43,31.24,9.0,2.0,-7.0,上海市普陀区长寿路街道新湖明珠城(南区)新湖明珠城南区
121.51,31.23,9.0,2.0,-7.0,上海市浦东新区陆家嘴街道仁恒滨江园
121.33,31.24,16.0,9.0,-7.0,上海市嘉定区江桥镇上海天畅信息技术公司慧创国际
121.5,31.27,23.0,16.0,-7.0,上海市虹口区嘉兴路街道天宝路中国石化天宝加油站
121.49,31.23,12.0,6.0,-6.0,上海市黄浦区外滩街道建中拉面四川小区
121.53,31.28,30.0,24.0,-6.0,上海市杨浦区控江路街道控江一村
121.49,31.27,24.0,18.0,-6.0,上海市虹口区欧阳路街道祥德路33号谭家桥
121.31,31.14,6.0,0.0,-6.0,上海市松江区九里亭街道博安路294号KC篮球公园
121.47,31.2,25.0,19.0,-6.0,上海市黄浦区五里桥街道扬子江家园
121.46,31.29,8.0,2.0,-6.0,上海市静安区大宁路街道粤秀路上海豪锦粤秀养老院
121.34,31.25,11.0,5.0,-6.0,上海市嘉定区江桥镇江桥路33号上海华通阀门有限公司(江桥路)
121.35,31.23,7.0,1.0,-6.0,上海市长宁区新泾镇临虹路357号中关村·虹桥创新中心
121.35,31.28,21.0,15.0,-6.0,上海市普陀区桃浦镇红棉路118号
121.37,31.34,11.0,5.0,-6.0,上海市宝山区顾村镇火星羽毛球培训中心(精羽)顾村公园
121.43,31.2,21.0,15.0,-6.0,上海市徐汇区徐家汇街道淮海西路上海交通大学徐汇校区
121.38,31.27,20.0,14.0,-6.0,上海市普陀区桃浦镇福特莱纸业上海国际包装·印刷城
121.39,31.27,22.0,16.0,-6.0,上海市普陀区桃浦镇真南路526号上海天佑医院
121.48,31.21,17.0,11.0,-6.0,上海市黄浦区打浦桥街道中汇公寓
121.39,31.25,16.0,10.0,-6.0,上海市普陀区真如镇街道真北路1941号普陀区真光社区(402坊)
121.55,31.17,5.0,0.0,-5.0,上海市浦东新区北蔡镇绿川小区西区
121.38,31.32,12.0,7.0,-5.0,上海市宝山区大场镇华秋路朗香花园
121.52,31.23,9.0,4.0,-5.0,上海市浦东新区陆家嘴街道上海金融报社721广场(张杨路)
121.47,31.21,23.0,18.0,-5.0,上海市黄浦区瑞金二路街道建国中路18小区
121.51,31.27,39.0,34.0,-5.0,上海市杨浦区江浦路街道打虎山路9号上海市昆明学校总校
121.5,31.32,10.0,5.0,-5.0,上海市杨浦区新江湾城街道建发·璟墅
121.4,31.18,7.0,2.0,-5.0,上海市闵行区虹桥镇启辰游泳培训(吴中路店)明申花园
121.42,31.35,6.0,1.0,-5.0,上海市宝山区顾村镇李家老宅上海市宝山区共富实验学校
121.43,31.26,18.0,13.0,-5.0,上海市普陀区甘泉路街道静怡饭店西部大楼
121.44,31.16,11.0,6.0,-5.0,上海市徐汇区漕河泾街道宣威路上海机辆段(南宁路)
121.44,31.29,18.0,13.0,-5.0,上海市静安区彭浦镇汶水路万荣阳光苑
121.44,31.32,28.0,23.0,-5.0,上海市宝山区庙行镇筑梦居公寓(宝山万达店)三泉家园
121.49,31.24,9.0,4.0,-5.0,上海市黄浦区外滩街道中山东一路26号万国博览建筑群
121.51,31.29,17.0,12.0,-5.0,上海市杨浦区五角场街道复旦大学继续教育学院分部
121.39,31.26,14.0,9.0,-5.0,上海市普陀区真如镇街道子洲路清涧小区清竹坊
